143;Cliente 1;2;1969-01-16;65201;3;47;2;1;3;1
327;Cliente 2;1;1969-10-02;93035;5;47;1;1;3;7
338;Cliente 3;2;1983-03-04;15209;3;33;1;1;1;1
346;Cliente 4;2;1964-03-30;16105;9;52;3;2;2;4
369;Cliente 5;2;1956-04-20;46032;4;60;2;3;1;2
468;Cliente 6;2;1981-11-12;07470;5;35;3;2;1;4
691;Cliente 7;2;1950-07-21;88210;6;66;1;1;3;1
740;Cliente 8;2;1977-11-05;10024;10;39;2;1;2;2
788;Cliente 9;1;1988-09-26;39703;4;28;3;1;1;7
809;Cliente 10;1;1979-07-23;68510;5;37;1;2;2;2
819;Cliente 11;2;1971-08-13;60425;7;45;1;1;2;4
831;Cliente 12;1;1946-07-30;20601;5;70;1;2;1;2
1140;Cliente 13;1;1980-02-23;67062;2;36;1;1;1;1
1245;Cliente 14;1;1941-08-21;33334;10;75;1;1;1;4
1273;Cliente 15;1;1968-11-24;02114;9;48;1;1;1;6
1525;Cliente 16;1;1948-10-21;68510;9;68;1;4;2;1
1559;Cliente 17;2;1945-08-13;26362;10;71;3;2;3;2
1630;Cliente 18;2;1986-01-24;62703;1;30;1;2;1;1
1656;Cliente 19;1;1991-07-07;07305;2;25;2;1;1;1
1699;Cliente 20;1;1977-12-21;54981;6;39;3;1;1;4
1845;Cliente 21;1;1943-01-23;48352;10;73;2;1;2;2
1907;Cliente 22;1;1963-07-27;21207;5;53;1;1;2;1
2253;Cliente 23;2;1990-10-06;58078;7;26;1;2;1;2
2263;Cliente 24;2;1985-04-08;33010;9;31;1;2;1;2
2317;Cliente 25;1;1962-02-21;14646;8;54;1;2;2;2
2353;Cliente 26;1;1980-07-11;61871;4;36;3;2;2;6
2578;Cliente 27;1;1964-09-26;74868;3;52;1;4;2;7
2591;Cliente 28;1;1960-05-29;35207;4;56;1;2;1;5
2777;Cliente 29;1;1968-11-18;37917;8;48;1;2;2;5
2865;Cliente 30;2;1954-03-23;41012;8;62;1;3;1;1
3097;Cliente 31;2;1980-05-04;18960;8;36;1;1;3;2
3324;Cliente 32;1;1975-01-19;21401;4;41;2;1;3;2
3480;Cliente 33;1;1966-03-19;54981;3;50;1;3;1;4
3556;Cliente 34;1;1952-03-29;33442;6;64;1;2;3;2
3646;Cliente 35;2;1950-09-24;15222;5;66;1;3;1;3
3648;Cliente 36;1;1969-01-19;77060;6;47;2;3;1;2
3880;Cliente 37;1;1949-10-19;55403;1;67;2;2;1;7
3892;Cliente 38;1;1971-01-31;90017;3;45;3;1;2;3
4049;Cliente 39;1;1953-04-27;11378;5;63;1;2;1;5
4130;Cliente 40;2;1980-06-01;48092;4;36;3;2;1;3
4168;Cliente 41;2;1984-08-08;53233;2;32;1;1;2;2
4209;Cliente 42;1;1942-05-06;19124;5;74;3;1;1;4
4303;Cliente 43;1;1975-09-01;06144;5;41;1;1;1;5
4389;Cliente 44;2;1958-10-18;28160;5;58;1;2;2;1
4456;Cliente 45;1;1988-01-27;60610;4;28;2;4;2;3
4509;Cliente 46;2;1971-11-19;95378;5;45;3;3;1;2
4582;Cliente 47;1;1955-12-19;53583;3;61;3;4;1;4
4679;Cliente 48;1;1997-01-26;88005;8;19;2;3;1;2
4718;Cliente 49;1;1973-06-04;21207;5;43;1;1;2;7
4722;Cliente 50;1;1975-11-16;33014;1;41;3;3;1;2
4760;Cliente 51;2;1991-09-11;60425;3;25;3;3;2;2
4904;Cliente 52;2;1989-06-02;53022;4;27;3;3;3;5
4921;Cliente 53;1;1958-01-03;28284;6;58;2;3;2;2
5045;Cliente 54;1;1967-01-14;10166;7;49;3;1;1;2
5498;Cliente 55;2;1950-08-25;60101;4;66;1;1;1;1
5642;Cliente 56;2;1976-08-02;37664;1;40;2;3;1;3
5696;Cliente 57;2;1990-11-16;48207;7;26;2;2;2;6
5730;Cliente 58;1;1956-11-21;22312;4;60;1;2;2;3
5752;Cliente 59;2;1986-11-20;64130;2;30;2;3;3;5
5777;Cliente 60;2;1967-12-11;60525;8;49;2;2;1;1
5920;Cliente 61;1;1942-10-04;06497;6;74;1;2;1;4
5952;Cliente 62;2;1951-04-15;19522;1;65;1;2;1;1
6127;Cliente 63;1;1947-02-07;52537;10;69;1;2;2;1
6311;Cliente 64;2;1945-02-20;39216;5;71;3;3;2;1
6460;Cliente 65;1;1980-03-26;89104;3;36;2;1;2;3
6466;Cliente 66;2;1993-08-02;14201;1;23;1;2;1;1
6472;Cliente 67;1;1965-01-19;10016;1;51;2;2;2;1
6490;Cliente 68;2;1941-02-22;70123;5;75;1;1;1;2
6589;Cliente 69;1;1971-05-13;58078;6;45;2;2;2;7
6647;Cliente 70;1;1963-06-26;30114;8;53;1;3;2;6
6665;Cliente 71;1;1943-05-12;54981;9;73;2;3;1;1
6716;Cliente 72;1;1947-08-13;94124;5;69;2;2;1;3
6734;Cliente 73;1;1963-11-19;36302;5;53;2;2;1;6
6829;Cliente 74;2;1988-04-02;13221;4;28;2;1;2;1
6947;Cliente 75;2;1956-03-15;77030;9;60;1;2;1;2
7023;Cliente 76;2;1993-11-03;07451;5;23;2;3;1;6
7056;Cliente 77;2;1997-10-05;02090;5;19;1;1;2;7
7069;Cliente 78;2;1944-02-05;85251;8;72;1;2;2;1
7118;Cliente 79;1;1976-09-14;24502;4;40;1;3;1;4
7131;Cliente 80;1;1943-03-25;10016;4;73;2;2;1;1
7241;Cliente 81;2;1941-07-04;02142;6;75;1;1;1;1
7299;Cliente 82;2;1990-10-16;80403;6;26;1;1;1;1
7550;Cliente 83;1;1956-12-27;95131;6;60;3;1;2;3
7553;Cliente 84;2;1980-10-15;90212;5;36;3;3;2;1
7561;Cliente 85;2;1983-05-31;30328;9;33;2;3;3;1
7787;Cliente 86;2;1990-09-16;61871;9;26;1;3;3;2
7888;Cliente 87;2;1961-03-28;80736;4;55;2;2;1;2
7916;Cliente 88;1;1942-02-19;21237;4;74;2;1;1;7
7988;Cliente 89;1;1973-06-18;47716;5;43;1;4;1;3
8038;Cliente 90;2;1944-12-15;50427;5;72;3;3;1;1
8220;Cliente 91;1;1973-12-28;43713;7;43;2;2;3;1
8235;Cliente 92;1;1977-08-02;36303;6;39;3;3;1;2
8247;Cliente 93;1;1968-08-22;19522;9;48;2;1;1;3
8307;Cliente 94;2;1967-09-17;11530;9;49;1;3;1;7
8336;Cliente 95;2;1975-11-29;95492;4;41;3;3;3;2
8659;Cliente 96;1;1947-03-31;10166;8;69;2;2;1;1
8706;Cliente 97;2;1960-08-08;01905;7;56;1;2;1;3
8786;Cliente 98;1;1993-05-07;78504;6;23;2;1;2;4
8933;Cliente 99;2;1977-07-13;36322;7;39;1;3;1;1
9052;Cliente 100;1;1957-07-29;11501;3;59;1;2;1;1
9096;Cliente 101;1;1971-07-25;89103;6;45;1;1;1;1
9235;Cliente 102;1;1980-06-28;44314;4;36;2;1;1;2
9272;Cliente 103;2;1951-08-15;37801;2;65;2;2;1;6
9313;Cliente 104;1;1984-12-14;28160;6;32;2;2;1;2
9381;Cliente 105;2;1942-02-13;38122;10;74;3;1;2;4
9386;Cliente 106;1;1954-11-02;35560;4;62;2;1;2;5
9431;Cliente 107;2;1988-01-09;35902;4;28;1;2;2;1
9449;Cliente 108;2;1942-01-13;60425;6;74;2;4;2;7
9730;Cliente 109;2;1941-10-28;06053;5;75;2;2;1;2
9732;Cliente 110;2;1941-11-15;77505;1;75;1;1;3;6
9754;Cliente 111;2;1971-02-22;98003;5;45;1;3;2;2
9790;Cliente 112;1;1988-01-05;54950;4;28;2;2;1;4
9842;Cliente 113;1;1953-10-14;07013;3;63;1;1;1;1
9880;Cliente 114;2;1977-08-06;54304;2;39;1;1;2;2
9896;Cliente 115;1;1988-10-27;30183;4;28;1;4;2;4
9970;Cliente 116;2;1950-08-05;33701;2;66;2;2;2;5
9;Cliente 117;1;1976-01-12;60005;6;40;1;4;2;1
35;Cliente 118;1;1964-04-25;91745;8;52;1;1;3;2
108;Cliente 119;2;1963-07-14;02915;1;53;1;2;1;4
168;Cliente 120;2;1967-03-26;94111;4;49;3;3;3;1
293;Cliente 121;2;1968-04-27;45209;4;48;2;2;3;3
622;Cliente 122;1;1976-03-08;53713;3;40;1;3;3;1
633;Cliente 123;2;1958-06-22;21237;8;58;1;1;1;1
697;Cliente 124;1;1960-03-20;45307;6;56;3;3;2;3
698;Cliente 125;2;1975-11-29;60949;6;41;1;3;2;2
900;Cliente 126;1;1977-06-08;10128;2;39;2;3;3;6
1044;Cliente 127;2;1954-07-18;70126;4;62;3;1;1;4
1146;Cliente 128;1;1994-12-19;44132;7;22;2;1;1;2
1165;Cliente 129;2;1967-01-06;60610;8;49;2;1;2;2
1242;Cliente 130;1;1970-11-25;42134;4;46;1;1;1;2
1288;Cliente 131;2;1965-08-03;91766;5;51;2;1;2;2
1296;Cliente 132;1;1946-12-03;53583;7;70;2;1;2;4
1341;Cliente 133;2;1944-04-01;08215;6;72;1;3;1;2
1402;Cliente 134;1;1987-10-19;97402;4;29;2;4;2;4
1424;Cliente 135;1;1977-05-26;14865;4;39;1;4;1;1
1444;Cliente 136;1;1970-02-24;03063;4;46;3;1;1;2
1487;Cliente 137;1;1991-08-10;14625;4;25;2;3;1;5
1545;Cliente 138;1;1984-04-27;20009;9;32;3;1;1;4
1566;Cliente 139;2;1973-07-13;60632;1;43;1;1;1;3
